timestamp,junction,signal_state,ambulance_position,traffic_density
0,A,GREEN,A,LOW
0,B,RED,A,HIGH
0,C,RED,A,HIGH
0,D,RED,A,LOW
0,E,GREEN,A,MEDIUM
0,F,GREEN,A,LOW
0,G,RED,A,LOW
0,H,RED,A,LOW
0,I,GREEN,A,LOW
0,A,GREEN,A,LOW
0,B,RED,A,HIGH
0,C,RED,A,HIGH
0,D,RED,A,LOW
0,E,GREEN,A,MEDIUM
0,F,GREEN,A,LOW
0,G,RED,A,LOW
0,H,RED,A,LOW
0,I,GREEN,A,LOW
10,A,GREEN,A,LOW
10,B,RED,A,HIGH
10,C,GREEN,A,HIGH
10,D,RED,A,LOW
10,E,GREEN,A,MEDIUM
10,F,RED,A,LOW
10,G,RED,A,LOW
10,H,RED,A,LOW
10,I,GREEN,A,LOW
20,A,GREEN,A,LOW
20,B,GREEN,A,HIGH
20,C,GREEN,A,HIGH
20,D,RED,A,LOW
20,E,RED,A,MEDIUM
20,F,RED,A,LOW
20,G,RED,A,LOW
20,H,GREEN,A,LOW
20,I,GREEN,A,LOW
30,A,GREEN,A,LOW
30,B,GREEN,A,HIGH
30,C,GREEN,A,HIGH
30,D,RED,A,LOW
30,E,RED,A,MEDIUM
30,F,RED,A,LOW
30,G,GREEN,A,LOW
30,H,GREEN,A,LOW
30,I,RED,A,LOW
40,A,GREEN,A,LOW
40,B,GREEN,A,HIGH
40,C,RED,A,HIGH
40,D,RED,A,LOW
40,E,RED,A,MEDIUM
40,F,GREEN,A,LOW
40,G,GREEN,A,LOW
40,H,YELLOW,A,LOW
40,I,RED,A,LOW
50,A,GREEN,A,LOW
50,B,RED,A,HIGH
50,C,RED,A,HIGH
50,D,RED,A,LOW
50,E,GREEN,A,MEDIUM
50,F,GREEN,A,LOW
50,G,GREEN,A,LOW
50,H,RED,A,LOW
50,I,RED,A,LOW
60,A,RED,D,LOW
60,B,RED,D,HIGH
60,C,RED,D,HIGH
60,D,GREEN,D,LOW
60,E,GREEN,D,MEDIUM
60,F,GREEN,D,LOW
60,G,RED,D,LOW
60,H,RED,D,LOW
60,I,GREEN,D,LOW
60,A,RED,D,LOW
60,B,RED,D,HIGH
60,C,RED,D,HIGH
60,D,GREEN,D,LOW
60,E,GREEN,D,MEDIUM
60,F,GREEN,D,LOW
60,G,RED,D,LOW
60,H,RED,D,LOW
60,I,GREEN,D,LOW
70,A,RED,D,LOW
70,B,RED,D,HIGH
70,C,GREEN,D,HIGH
70,D,GREEN,D,LOW
70,E,GREEN,D,MEDIUM
70,F,RED,D,LOW
70,G,RED,D,LOW
70,H,RED,D,LOW
70,I,GREEN,D,LOW
80,A,RED,D,LOW
80,B,GREEN,D,HIGH
80,C,GREEN,D,HIGH
80,D,GREEN,D,LOW
80,E,RED,D,MEDIUM
80,F,RED,D,LOW
80,G,RED,D,LOW
80,H,GREEN,D,LOW
80,I,GREEN,D,LOW
90,A,GREEN,D,LOW
90,B,GREEN,D,HIGH
90,C,GREEN,D,HIGH
90,D,GREEN,D,LOW
90,E,RED,D,MEDIUM
90,F,RED,D,LOW
90,G,RED,D,LOW
90,H,GREEN,D,LOW
90,I,RED,D,LOW
100,A,GREEN,D,LOW
100,B,GREEN,D,HIGH
100,C,RED,D,HIGH
100,D,GREEN,D,LOW
100,E,RED,D,MEDIUM
100,F,GREEN,D,LOW
100,G,RED,D,LOW
100,H,YELLOW,D,LOW
100,I,RED,D,LOW
110,A,GREEN,D,LOW
110,B,RED,D,HIGH
110,C,RED,D,HIGH
110,D,GREEN,D,LOW
110,E,GREEN,D,MEDIUM
110,F,GREEN,D,LOW
110,G,RED,D,LOW
110,H,RED,D,LOW
110,I,RED,D,LOW
120,A,RED,G,LOW
120,B,RED,G,HIGH
120,C,RED,G,HIGH
120,D,GREEN,G,LOW
120,E,GREEN,G,MEDIUM
120,F,GREEN,G,LOW
120,G,GREEN,G,LOW
120,H,RED,G,LOW
120,I,GREEN,G,LOW
120,A,RED,G,LOW
120,B,RED,G,HIGH
120,C,RED,G,HIGH
120,D,GREEN,G,LOW
120,E,GREEN,G,MEDIUM
120,F,GREEN,G,LOW
120,G,GREEN,G,LOW
120,H,RED,G,LOW
120,I,GREEN,G,LOW
130,A,RED,G,LOW
130,B,RED,G,HIGH
130,C,GREEN,G,HIGH
130,D,GREEN,G,LOW
130,E,GREEN,G,MEDIUM
130,F,RED,G,LOW
130,G,GREEN,G,LOW
130,H,RED,G,LOW
130,I,GREEN,G,LOW
140,A,RED,G,LOW
140,B,GREEN,G,HIGH
140,C,GREEN,G,HIGH
140,D,GREEN,G,LOW
140,E,RED,G,MEDIUM
140,F,RED,G,LOW
140,G,GREEN,G,LOW
140,H,RED,G,LOW
140,I,GREEN,G,LOW
150,A,GREEN,G,LOW
150,B,GREEN,G,HIGH
150,C,GREEN,G,HIGH
150,D,RED,G,LOW
150,E,RED,G,MEDIUM
150,F,RED,G,LOW
150,G,GREEN,G,LOW
150,H,RED,G,LOW
150,I,RED,G,LOW
160,A,GREEN,G,LOW
160,B,GREEN,G,HIGH
160,C,RED,G,HIGH
160,D,RED,G,LOW
160,E,RED,G,MEDIUM
160,F,GREEN,G,LOW
160,G,GREEN,G,LOW
160,H,RED,G,LOW
160,I,RED,G,LOW
170,A,GREEN,G,LOW
170,B,RED,G,HIGH
170,C,RED,G,HIGH
170,D,RED,G,LOW
170,E,GREEN,G,MEDIUM
170,F,GREEN,G,LOW
170,G,GREEN,G,LOW
170,H,RED,G,LOW
170,I,RED,G,LOW
180,A,RED,H,LOW
180,B,RED,H,HIGH
180,C,RED,H,HIGH
180,D,GREEN,H,LOW
180,E,GREEN,H,MEDIUM
180,F,GREEN,H,LOW
180,G,RED,H,LOW
180,H,GREEN,H,LOW
180,I,RED,H,LOW
180,A,RED,H,LOW
180,B,RED,H,HIGH
180,C,RED,H,HIGH
180,D,GREEN,H,LOW
180,E,GREEN,H,MEDIUM
180,F,GREEN,H,LOW
180,G,RED,H,LOW
180,H,GREEN,H,LOW
180,I,RED,H,LOW
190,A,RED,H,LOW
190,B,RED,H,HIGH
190,C,GREEN,H,HIGH
190,D,GREEN,H,LOW
190,E,GREEN,H,MEDIUM
190,F,RED,H,LOW
190,G,RED,H,LOW
190,H,GREEN,H,LOW
190,I,RED,H,LOW
200,A,RED,H,LOW
200,B,GREEN,H,HIGH
200,C,GREEN,H,HIGH
200,D,GREEN,H,LOW
200,E,RED,H,MEDIUM
200,F,RED,H,LOW
200,G,RED,H,LOW
200,H,GREEN,H,LOW
200,I,RED,H,LOW
210,A,GREEN,H,LOW
210,B,GREEN,H,HIGH
210,C,GREEN,H,HIGH
210,D,RED,H,LOW
210,E,RED,H,MEDIUM
210,F,RED,H,LOW
210,G,GREEN,H,LOW
210,H,GREEN,H,LOW
210,I,RED,H,LOW
220,A,GREEN,H,LOW
220,B,GREEN,H,HIGH
220,C,RED,H,HIGH
220,D,RED,H,LOW
220,E,RED,H,MEDIUM
220,F,GREEN,H,LOW
220,G,GREEN,H,LOW
220,H,GREEN,H,LOW
220,I,RED,H,LOW
230,A,GREEN,H,LOW
230,B,RED,H,HIGH
230,C,RED,H,HIGH
230,D,RED,H,LOW
230,E,GREEN,H,MEDIUM
230,F,GREEN,H,LOW
230,G,GREEN,H,LOW
230,H,GREEN,H,LOW
230,I,RED,H,LOW
240,A,RED,I,LOW
240,B,RED,I,HIGH
240,C,RED,I,HIGH
240,D,GREEN,I,LOW
240,E,GREEN,I,MEDIUM
240,F,GREEN,I,LOW
240,G,RED,I,LOW
240,H,RED,I,LOW
240,I,GREEN,I,LOW
250,A,RED,I,LOW
250,B,RED,I,HIGH
250,C,GREEN,I,HIGH
250,D,GREEN,I,LOW
250,E,GREEN,I,MEDIUM
250,F,RED,I,LOW
250,G,RED,I,LOW
250,H,RED,I,LOW
250,I,GREEN,I,LOW
260,A,RED,I,LOW
260,B,GREEN,I,HIGH
260,C,GREEN,I,HIGH
260,D,GREEN,I,LOW
260,E,RED,I,MEDIUM
260,F,RED,I,LOW
260,G,RED,I,LOW
260,H,GREEN,I,LOW
260,I,GREEN,I,LOW
270,A,GREEN,I,LOW
270,B,GREEN,I,HIGH
270,C,GREEN,I,HIGH
270,D,RED,I,LOW
270,E,RED,I,MEDIUM
270,F,RED,I,LOW
270,G,GREEN,I,LOW
270,H,GREEN,I,LOW
270,I,RED,I,LOW
